"source_repo","path","size","url","local_path","downloaded"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","Neurotransimitter_Association_Figure7.mlx","15735","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/Neurotransimitter_Association_Figure7.mlx","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\Neurotransimitter_Association_Figure7.mlx","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","README.md","1983","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/README.md","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\README.md","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","ReappraisalSuccess_Figure5.asv","6409","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/ReappraisalSuccess_Figure5.asv","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\ReappraisalSuccess_Figure5.asv","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","ReappraisalSuccess_Figure5.m","3853","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/ReappraisalSuccess_Figure5.m","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\ReappraisalSuccess_Figure5.m","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","Robust_Regression_Example.asv","13421","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/Robust_Regression_Example.asv","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\Robust_Regression_Example.asv","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","Robust_Regression_Wholebrain_Figure5.m","12916","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/Robust_Regression_Wholebrain_Figure5.m","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\Robust_Regression_Wholebrain_Figure5.m","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","SystemComponents_Boot100.mat","7776784","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/SystemComponents_Boot100.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\SystemComponents_Boot100.mat","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","SystemComponents_Study1.mat","9649742","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/SystemComponents_Study1.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\SystemComponents_Study1.mat","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","SystemComponents_Study1_AfterClusterControl.mat","5332192","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/SystemComponents_Study1_AfterClusterControl.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\SystemComponents_Study1_AfterClusterControl.mat","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","SystemComponents_Study1_BeforeClusterControl.mat","5313410","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/SystemComponents_Study1_BeforeClusterControl.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\SystemComponents_Study1_BeforeClusterControl.mat","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","SystemComponents_Study2.mat","9714948","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/SystemComponents_Study2.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\SystemComponents_Study2.mat","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","SystemComponents_Study2_AfterClusterControl.mat","5323625","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/SystemComponents_Study2_AfterClusterControl.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\SystemComponents_Study2_AfterClusterControl.mat","True"
"KeBo2018/KeBo2023_EmotionReg_BayesFactor","SystemComponents_Study2_BeforeClusterControl.mat","5308115","https://github.com/KeBo2018/KeBo2023_EmotionReg_BayesFactor/blob/main/SystemComponents_Study2_BeforeClusterControl.mat","C:\Users\81575\Desktop\vscode_box\A_systems_identification_emotion_regulation\06_github_code_and_toolboxes\KeBo2018_KeBo2023_EmotionReg_BayesFactor\SystemComponents_Study2_BeforeClusterControl.mat","True"
